codmpio,tipo_eleccion,total_partidos,total_votos,margen_prop,log_margen_prop,nep_lt,nep_g,log_nep_lt,log_nep_g,dummy_farc,votos_farc,prop_votos_farc,log_prop_votos_farc,coddepto,departamento,municipio,dummy_pdet,dummy_etcr,nombre_cep,dummy_cep,pob_2019,log_pob_2019,magnitud_distrito,censo_electoral_2018,mdm_2017,o_aband_tierras,o_acto_terror,o_amenazas,o_delito_sex,o_desap_for,o_desplaza,o_homic,o_minas_anti,o_perd_mue,o_secuest,o_hsininfo,o_tortura,o_vinc_mened,log_o_aband_tierras,log_o_acto_terror,log_o_amenazas,log_o_delito_sex,log_o_desap_for,log_o_desplaza,log_o_homic,log_o_minas_anti,log_o_perd_mue,log_o_secuest,log_o_hsininfo,log_o_tortura,log_o_vinc_mened,o_aband_tierras_last,o_acto_terror_last,o_amenazas_last,o_delito_sex_last,o_desap_for_last,o_desplaza_last,o_homic_last,o_minas_anti_last,o_perd_mue_last,o_secuest_last,o_hsininfo_last,o_tortura_last,o_vinc_mened_last,log_o_aband_tierras_last,log_o_acto_terror_last,log_o_amenazas_last,log_o_delito_sex_last,log_o_desap_for_last,log_o_desplaza_last,log_o_homic_last,log_o_minas_anti_last,log_o_perd_mue_last,log_o_secuest_last,log_o_hsininfo_last,log_o_tortura_last,log_o_vinc_mened_last,provincia,areaoficialkm2,discapital,disbogota,log_areaoficialkm2,log_discapital,log_disbogota
05658,ALCALDE,2,2034,0.4218289085545723,-0.863155477120543,1.6978798847602865,1.4066390041493775,0.5293803461410139,0.3412031738897952,0,0,0,NA,05,ANTIOQUIA,SAN JOSE DE LA MONTANA,0,0,NA,0,3706,8.217708406845306,1,3198,47.94,0,4,95,0,38,983,169,4,8,13,0,1,0,-9.210340371976182,1.3863193608073958,4.553877944231566,-9.210340371976182,3.6375887913018707,6.890609221876561,5.129899306638875,1.3863193608073958,2.0794540416017115,2.5649570497396432,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,0,0,1,0,0,15,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,2.7080568677466546,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Norte,173,59.93076,314.9092,5.153291594497779,4.093190062710598,5.7522843750594035
05658,CONCEJO,4,1861,0.07791509940891994,-2.552135514221676,3.177344140623208,2.8406329234510475,1.1560456719337326,1.0440268877135186,0,0,0,NA,05,ANTIOQUIA,SAN JOSE DE LA MONTANA,0,0,NA,0,3706,8.217708406845306,7,3198,47.94,0,4,95,0,38,983,169,4,8,13,0,1,0,-9.210340371976182,1.3863193608073958,4.553877944231566,-9.210340371976182,3.6375887913018707,6.890609221876561,5.129899306638875,1.3863193608073958,2.0794540416017115,2.5649570497396432,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,0,0,1,0,0,15,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,2.7080568677466546,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Norte,173,59.93076,314.9092,5.153291594497779,4.093190062710598,5.7522843750594035
05659,ALCALDE,5,11538,0.015340613624544974,-4.1772514822430065,3.303092875590492,3.2934979409016796,1.1948592645693408,1.1919502038977714,0,0,0,NA,05,ANTIOQUIA,SAN JUAN DE URABA,0,0,NA,0,20549,9.93056755693987,1,17973,39.15,0,13,360,24,110,11598,394,4,13,13,0,7,0,-9.210340371976182,2.5649570497396432,5.886104309227894,3.178057997005932,4.700481274882912,9.358587957058562,5.976351163105008,1.3863193608073958,2.5649570497396432,2.5649570497396432,-9.210340371976182,1.945924434667559,-9.210340371976182,0,0,80,1,0,289,0,0,1,0,0,0,0,-9.210340371976182,-9.210340371976182,4.3820278846731,9.999500033329732e-5,-9.210340371976182,5.666427034133133,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Urabá,241,286.172,543.8094,5.484796933490655,5.656593063597604,6.298598836204595
05659,CONCEJO,11,8587,0.08314894608128565,-2.4871217483329007,7.9597173575142675,7.09098579885058,2.074393491375907,1.9588243716193297,0,0,0,NA,05,ANTIOQUIA,SAN JUAN DE URABA,0,0,NA,0,20549,9.93056755693987,13,17973,39.15,0,13,360,24,110,11598,394,4,13,13,0,7,0,-9.210340371976182,2.5649570497396432,5.886104309227894,3.178057997005932,4.700481274882912,9.358587957058562,5.976351163105008,1.3863193608073958,2.5649570497396432,2.5649570497396432,-9.210340371976182,1.945924434667559,-9.210340371976182,0,0,80,1,0,289,0,0,1,0,0,0,0,-9.210340371976182,-9.210340371976182,4.3820278846731,9.999500033329732e-5,-9.210340371976182,5.666427034133133,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Urabá,241,286.172,543.8094,5.484796933490655,5.656593063597604,6.298598836204595
05660,ALCALDE,2,6572,0.04747413268411438,-3.0475702913476774,1.9955025497748502,1.9093550261475882,0.6908959232682257,0.6467655023856738,0,0,0,NA,05,ANTIOQUIA,SAN LUIS,0,0,NA,0,13035,9.475393326367602,1,11050,45.34,0,105,355,27,579,30849,1558,94,226,191,0,14,16,-9.210340371976182,4.653961302538022,5.8721180711655165,3.295840569701174,6.361302650284552,10.336859617138897,7.351158290615544,4.543295846099225,5.420535441750064,5.2522739516067025,-9.210340371976182,2.6390644724468912,2.77259497222025,0,1,19,0,0,90,0,0,1,0,0,1,0,-9.210340371976182,9.999500033329732e-5,2.944444242310485,-9.210340371976182,-9.210340371976182,4.499810781440759,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,Oriente,458,79.6015,200.428,6.126869184114185,4.377033062519659,5.300455129902811
05660,CONCEJO,8,5919,0.07045108971109981,-2.652836572891924,5.603929277798261,5.0604091312646995,1.7234680084447822,1.6214473360118715,0,0,0,NA,05,ANTIOQUIA,SAN LUIS,0,0,NA,0,13035,9.475393326367602,11,11050,45.34,0,105,355,27,579,30849,1558,94,226,191,0,14,16,-9.210340371976182,4.653961302538022,5.8721180711655165,3.295840569701174,6.361302650284552,10.336859617138897,7.351158290615544,4.543295846099225,5.420535441750064,5.2522739516067025,-9.210340371976182,2.6390644724468912,2.77259497222025,0,1,19,0,0,90,0,0,1,0,0,1,0,-9.210340371976182,9.999500033329732e-5,2.944444242310485,-9.210340371976182,-9.210340371976182,4.499810781440759,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,Oriente,458,79.6015,200.428,6.126869184114185,4.377033062519659,5.300455129902811
05664,ALCALDE,6,11852,0.18975700303746204,-1.6620109567341401,3.3677962029971895,2.7598600856313524,1.2142585847503544,1.0151799848322653,0,0,0,NA,05,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,0,0,NA,0,22447,10.018912253951546,1,19693,54.46,0,20,161,5,74,7260,545,0,10,11,0,5,2,-9.210340371976182,2.995737273541491,5.0814049861022825,1.609457912234103,4.304066444554608,8.890135121592946,6.300785978149466,-9.210340371976182,2.302595092944046,2.3979043636661395,-9.210340371976182,1.609457912234103,0.693197179309987,0,1,37,0,0,140,0,0,0,0,0,1,1,-9.210340371976182,9.999500033329732e-5,3.610920615343275,-9.210340371976182,-9.210340371976182,4.941643136894763,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,9.999500033329732e-5,Norte,232,23.15756,275.3817,5.44673737166631,3.1423217249202744,5.618158171598225
05664,CONCEJO,9,10797,0.0453829767528017,-3.0926182056424683,5.52061177029731,5.112458595955164,1.7084886821004515,1.6316804227454493,0,0,0,NA,05,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,0,0,NA,0,22447,10.018912253951546,13,19693,54.46,0,20,161,5,74,7260,545,0,10,11,0,5,2,-9.210340371976182,2.995737273541491,5.0814049861022825,1.609457912234103,4.304066444554608,8.890135121592946,6.300785978149466,-9.210340371976182,2.302595092944046,2.3979043636661395,-9.210340371976182,1.609457912234103,0.693197179309987,0,1,37,0,0,140,0,0,0,0,0,1,1,-9.210340371976182,9.999500033329732e-5,3.610920615343275,-9.210340371976182,-9.210340371976182,4.941643136894763,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,9.999500033329732e-5,Norte,232,23.15756,275.3817,5.44673737166631,3.1423217249202744,5.618158171598225
05665,ALCALDE,4,15546,0.1311591406149492,-2.0313438792157097,2.8258998499740433,2.3982360084023537,1.0388268448424502,0.8747334706125276,0,0,0,NA,05,ANTIOQUIA,SAN PEDRO DE URABA,1,0,C 16 URABA,1,31571,10.359994256691806,1,25947,52.87,0,37,433,38,582,27287,649,1,46,42,0,7,8,-9.210340371976182,3.610920615343275,6.070737958949345,3.6375887913018707,6.366470619552729,10.214165680946918,6.475432870787283,9.999500033329732e-5,3.8286435703997754,3.737671999232915,-9.210340371976182,1.945924434667559,2.0794540416017115,0,1,144,4,0,656,0,0,4,0,0,0,0,-9.210340371976182,9.999500033329732e-5,4.969813994020204,1.3863193608073958,-9.210340371976182,6.486160941383102,-9.210340371976182,-9.210340371976182,1.3863193608073958,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Urabá,482,251.5511,507.9638,6.1779441140506,5.5276461895692135,6.2304102048833006
05665,CONCEJO,9,14014,0.13058370201227343,-2.0357408630950125,6.775774168135443,5.655347734822208,1.9133536285971078,1.7326015992464687,0,0,0,NA,05,ANTIOQUIA,SAN PEDRO DE URABA,1,0,C 16 URABA,1,31571,10.359994256691806,13,25947,52.87,0,37,433,38,582,27287,649,1,46,42,0,7,8,-9.210340371976182,3.610920615343275,6.070737958949345,3.6375887913018707,6.366470619552729,10.214165680946918,6.475432870787283,9.999500033329732e-5,3.8286435703997754,3.737671999232915,-9.210340371976182,1.945924434667559,2.0794540416017115,0,1,144,4,0,656,0,0,4,0,0,0,0,-9.210340371976182,9.999500033329732e-5,4.969813994020204,1.3863193608073958,-9.210340371976182,6.486160941383102,-9.210340371976182,-9.210340371976182,1.3863193608073958,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Urabá,482,251.5511,507.9638,6.1779441140506,5.5276461895692135,6.2304102048833006
05667,ALCALDE,10,7658,0.17615565421781143,-1.736387275829484,3.5776318838114762,2.886629248803734,1.2747010965660373,1.0600894715140474,0,0,0,NA,05,ANTIOQUIA,SAN RAFAEL,0,0,NA,0,15632,9.657075374282565,1,12367,47.17,0,104,520,22,143,25702,1847,41,273,36,0,6,6,-9.210340371976182,4.644391860679372,6.253829003883147,3.091046998802531,4.962845329560362,10.154324092757834,7.52131803434109,3.713574505725724,5.609472161485259,3.5835217162300297,-9.210340371976182,1.7917761357558344,1.7917761357558344,0,0,6,0,0,53,0,0,1,0,0,0,0,-9.210340371976182,-9.210340371976182,1.7917761357558344,-9.210340371976182,-9.210340371976182,3.9702938003427946,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,366,74.72084,231.1819,5.902633333401366,4.313759169658881,5.443204889792368
05667,CONCEJO,10,5364,0.055928411633109604,-2.883682769745368,5.718618301330134,5.204435510264538,1.7437272205009116,1.6495112447475206,0,0,0,NA,05,ANTIOQUIA,SAN RAFAEL,0,0,NA,0,15632,9.657075374282565,11,12367,47.17,0,104,520,22,143,25702,1847,41,273,36,0,6,6,-9.210340371976182,4.644391860679372,6.253829003883147,3.091046998802531,4.962845329560362,10.154324092757834,7.52131803434109,3.713574505725724,5.609472161485259,3.5835217162300297,-9.210340371976182,1.7917761357558344,1.7917761357558344,0,0,6,0,0,53,0,0,1,0,0,0,0,-9.210340371976182,-9.210340371976182,1.7917761357558344,-9.210340371976182,-9.210340371976182,3.9702938003427946,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,366,74.72084,231.1819,5.902633333401366,4.313759169658881,5.443204889792368
05670,ALCALDE,3,8822,0.0068011788710042875,-4.990659318442788,2.9730182637301144,2.849834339593621,1.0895776871959189,1.0472608661327727,0,0,0,NA,05,ANTIOQUIA,SAN ROQUE,0,0,NA,0,21533,9.977341921106609,1,14770,57.82,15,57,321,51,155,9351,1065,5,47,33,0,15,6,2.7080568677466546,4.0430530222189764,5.771441434656447,3.9318275935067173,5.043425762080329,9.14323857912949,6.970730172040235,1.609457912234103,3.8501497293673697,3.496510591764919,-9.210340371976182,2.7080568677466546,1.7917761357558344,0,2,45,0,0,155,11,0,1,0,0,0,0,-9.210340371976182,0.693197179309987,3.8066647119900727,-9.210340371976182,-9.210340371976182,5.043425762080329,2.3979043636661395,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Nordeste,446,83.7851,238.4481,6.100318952020064,4.428255306735993,5.474151718522844
05670,CONCEJO,8,7095,0.05764622973925301,-2.853430433551341,6.147009795475474,5.393733667236528,1.8159657514611778,1.6852378477544538,0,0,0,NA,05,ANTIOQUIA,SAN ROQUE,0,0,NA,0,21533,9.977341921106609,13,14770,57.82,15,57,321,51,155,9351,1065,5,47,33,0,15,6,2.7080568677466546,4.0430530222189764,5.771441434656447,3.9318275935067173,5.043425762080329,9.14323857912949,6.970730172040235,1.609457912234103,3.8501497293673697,3.496510591764919,-9.210340371976182,2.7080568677466546,1.7917761357558344,0,2,45,0,0,155,11,0,1,0,0,0,0,-9.210340371976182,0.693197179309987,3.8066647119900727,-9.210340371976182,-9.210340371976182,5.043425762080329,2.3979043636661395,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Nordeste,446,83.7851,238.4481,6.100318952020064,4.428255306735993,5.474151718522844
05674,ALCALDE,3,10281,0.046007197743410166,-3.078957422050786,2.4176061324085807,2.2402702213361443,0.8827778491018589,0.8065964931162537,0,0,0,NA,05,ANTIOQUIA,SAN VICENTE FERRER,0,0,NA,0,22258,10.01045677353337,1,16499,52.86,0,29,463,77,26,9141,692,2,25,12,0,8,1,-9.210340371976182,3.367299278256391,6.1377272700689325,4.343806720554139,3.258100384167932,9.120525078593541,6.539586100126329,0.693197179309987,3.218879824860201,2.4849149830866115,-9.210340371976182,2.0794540416017115,9.999500033329732e-5,0,0,6,0,0,34,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,1.7917761357558344,-9.210340371976182,-9.210340371976182,3.526363465788307,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,246,35.57514,246.5316,5.5053315359323625,3.571647360411159,5.50749022055542
05674,CONCEJO,7,8561,0.017170891251022086,-4.064539697963749,6.127874497950247,5.847201323447215,1.8128479521290672,1.7659631405226455,0,0,0,NA,05,ANTIOQUIA,SAN VICENTE FERRER,0,0,NA,0,22258,10.01045677353337,13,16499,52.86,0,29,463,77,26,9141,692,2,25,12,0,8,1,-9.210340371976182,3.367299278256391,6.1377272700689325,4.343806720554139,3.258100384167932,9.120525078593541,6.539586100126329,0.693197179309987,3.218879824860201,2.4849149830866115,-9.210340371976182,2.0794540416017115,9.999500033329732e-5,0,0,6,0,0,34,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,1.7917761357558344,-9.210340371976182,-9.210340371976182,3.526363465788307,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,246,35.57514,246.5316,5.5053315359323625,3.571647360411159,5.50749022055542
05679,ALCALDE,4,12325,0.11156186612576058,-2.19317598881022,2.149001629063997,1.934523136562882,0.7650033757168553,0.6598608550573848,0,0,0,NA,05,ANTIOQUIA,SANTA BARBARA,0,0,NA,0,26944,10.201515917042054,1,22328,50.85,0,17,179,6,97,3280,1036,0,6,28,0,5,0,-9.210340371976182,2.833219226391856,5.187386364499817,1.7917761357558344,4.574712009430686,8.095598731865994,6.94312251934452,-9.210340371976182,1.7917761357558344,3.332208081597398,-9.210340371976182,1.609457912234103,-9.210340371976182,0,1,46,0,0,136,0,0,1,0,0,0,0,-9.210340371976182,9.999500033329732e-5,3.8286435703997754,-9.210340371976182,-9.210340371976182,4.9126556210298995,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Suroeste,188,48.35529,223.6515,5.236441962829949,3.8785758332650775,5.410089081476901
